nameOfNearestStation,year,location,price
お花茶屋,2011,東京都 葛飾区お花茶屋3丁目396番12,206000
お花茶屋,2012,東京都 葛飾区お花茶屋3丁目396番12,204750
お花茶屋,2013,東京都 葛飾区お花茶屋3丁目396番12,204000
お花茶屋,2014,東京都 葛飾区お花茶屋3丁目396番12,205750
お花茶屋,2015,東京都 葛飾区お花茶屋3丁目396番12,207500
お花茶屋,2016,東京都 葛飾区お花茶屋3丁目396番12,295250
お花茶屋,2017,東京都 葛飾区お花茶屋3丁目396番12,300000
お花茶屋,2018,東京都 葛飾区お花茶屋3丁目396番12,308000
お花茶屋,2019,東京都 葛飾区お花茶屋3丁目396番12,317500
お花茶屋,2020,東京都 葛飾区お花茶屋3丁目396番12,325250
お花茶屋,2021,東京都 葛飾区お花茶屋3丁目396番12,323000
こどもの国,2011,東京都 町田市成瀬台3丁目22番13,161000
こどもの国,2012,東京都 町田市成瀬台3丁目22番13,160000
こどもの国,2013,東京都 町田市成瀬台3丁目22番13,159000
こどもの国,2014,東京都 町田市成瀬台3丁目22番13,159000
こどもの国,2015,東京都 町田市成瀬台3丁目22番13,159000
こどもの国,2016,東京都 町田市成瀬台3丁目22番13,158000
こどもの国,2017,東京都 町田市成瀬台3丁目22番13,157000
こどもの国,2018,東京都 町田市成瀬台3丁目22番13,157000
こどもの国,2019,東京都 町田市成瀬台3丁目22番13,157000
こどもの国,2020,東京都 町田市成瀬台3丁目22番13,157000
こどもの国,2021,東京都 町田市成瀬台3丁目22番13,156000
すずかけ台,2011,東京都 町田市小川4丁目7番21,198666
すずかけ台,2012,東京都 町田市小川4丁目7番21,197666
すずかけ台,2013,東京都 町田市小川4丁目7番21,197000
すずかけ台,2014,東京都 町田市小川4丁目7番21,198000
すずかけ台,2015,東京都 町田市小川4丁目7番21,198666
すずかけ台,2016,東京都 町田市小川4丁目7番21,199333
すずかけ台,2017,東京都 町田市小川4丁目7番21,199666
すずかけ台,2018,東京都 町田市小川4丁目7番21,200000
すずかけ台,2019,東京都 町田市小川4丁目7番21,200333
すずかけ台,2020,東京都 町田市小川4丁目7番21,201333
すずかけ台,2021,東京都 町田市小川4丁目7番21,201000
