stationName,administrationCompany,routeName,stationCode,year,passengers
光が丘,東京都,12号線大江戸線,003225,2011,56529
光が丘,東京都,12号線大江戸線,003225,2012,57846
光が丘,東京都,12号線大江戸線,003225,2013,59065
光が丘,東京都,12号線大江戸線,003225,2014,59157
光が丘,東京都,12号線大江戸線,003225,2015,60107
光が丘,東京都,12号線大江戸線,003225,2016,61464
光が丘,東京都,12号線大江戸線,003225,2017,62937
光が丘,東京都,12号線大江戸線,003225,2018,63584
光が丘,東京都,12号線大江戸線,003225,2019,63120
光が丘,東京都,12号線大江戸線,003225,2020,47683
光が丘,東京都,12号線大江戸線,003225,2021,49778
練馬春日町,東京都,12号線大江戸線,003243,2011,18575
練馬春日町,東京都,12号線大江戸線,003243,2012,19217
練馬春日町,東京都,12号線大江戸線,003243,2013,19943
練馬春日町,東京都,12号線大江戸線,003243,2014,20478
練馬春日町,東京都,12号線大江戸線,003243,2015,20892
練馬春日町,東京都,12号線大江戸線,003243,2016,21535
練馬春日町,東京都,12号線大江戸線,003243,2017,22260
練馬春日町,東京都,12号線大江戸線,003243,2018,23000
練馬春日町,東京都,12号線大江戸線,003243,2019,23110
練馬春日町,東京都,12号線大江戸線,003243,2020,18330
練馬春日町,東京都,12号線大江戸線,003243,2021,19287
豊島園,東京都,12号線大江戸線,003309,2011,10568
豊島園,東京都,12号線大江戸線,003309,2012,10954
豊島園,東京都,12号線大江戸線,003309,2013,11163
豊島園,東京都,12号線大江戸線,003309,2014,11131
豊島園,東京都,12号線大江戸線,003309,2015,11286
豊島園,東京都,12号線大江戸線,003309,2016,11600
豊島園,東京都,12号線大江戸線,003309,2017,11716
豊島園,東京都,12号線大江戸線,003309,2018,12233
豊島園,東京都,12号線大江戸線,003309,2019,12410
豊島園,東京都,12号線大江戸線,003309,2020,8746
豊島園,東京都,12号線大江戸線,003309,2021,8579
練馬,東京都,12号線大江戸線,003338,2011,69630
練馬,東京都,12号線大江戸線,003338,2012,71848
練馬,東京都,12号線大江戸線,003338,2013,73396
練馬,東京都,12号線大江戸線,003338,2014,74506
練馬,東京都,12号線大江戸線,003338,2015,76875
練馬,東京都,12号線大江戸線,003338,2016,78525
練馬,東京都,12号線大江戸線,003338,2017,80302
練馬,東京都,12号線大江戸線,003338,2018,81459
練馬,東京都,12号線大江戸線,003338,2019,82576
練馬,東京都,12号線大江戸線,003338,2020,62604
練馬,東京都,12号線大江戸線,003338,2021,64586
新江古田,東京都,12号線大江戸線,003367,2011,22697
新江古田,東京都,12号線大江戸線,003367,2012,23909
新江古田,東京都,12号線大江戸線,003367,2013,24680
新江古田,東京都,12号線大江戸線,003367,2014,24962
新江古田,東京都,12号線大江戸線,003367,2015,25572
新江古田,東京都,12号線大江戸線,003367,2016,27045
新江古田,東京都,12号線大江戸線,003367,2017,28035
新江古田,東京都,12号線大江戸線,003367,2018,28824
新江古田,東京都,12号線大江戸線,003367,2019,30008
新江古田,東京都,12号線大江戸線,003367,2020,22998
新江古田,東京都,12号線大江戸線,003367,2021,24317
落合南長崎,東京都,12号線大江戸線,003448,2011,20815
落合南長崎,東京都,12号線大江戸線,003448,2012,22875
落合南長崎,東京都,12号線大江戸線,003448,2013,23856
落合南長崎,東京都,12号線大江戸線,003448,2014,24329
落合南長崎,東京都,12号線大江戸線,003448,2015,25251
落合南長崎,東京都,12号線大江戸線,003448,2016,26031
落合南長崎,東京都,12号線大江戸線,003448,2017,27147
落合南長崎,東京都,12号線大江戸線,003448,2018,28006
落合南長崎,東京都,12号線大江戸線,003448,2019,28212
落合南長崎,東京都,12号線大江戸線,003448,2020,21881
落合南長崎,東京都,12号線大江戸線,003448,2021,22758
中井,東京都,12号線大江戸線,003503,2011,20897
中井,東京都,12号線大江戸線,003503,2012,21956
中井,東京都,12号線大江戸線,003503,2013,22866
中井,東京都,12号線大江戸線,003503,2014,23407
中井,東京都,12号線大江戸線,003503,2015,24151
中井,東京都,12号線大江戸線,003503,2016,24608
中井,東京都,12号線大江戸線,003503,2017,25482
中井,東京都,12号線大江戸線,003503,2018,25798
中井,東京都,12号線大江戸線,003503,2019,25767
中井,東京都,12号線大江戸線,003503,2020,18252
中井,東京都,12号線大江戸線,003503,2021,19784
春日,東京都,12号線大江戸線,003539,2011,0
春日,東京都,12号線大江戸線,003539,2012,0
春日,東京都,12号線大江戸線,003539,2013,0
