stationName,administrationCompany,routeName,stationCode,year,passengers,land_price
光が丘,東京都,12号線大江戸線,3225,2011,56529,147333
光が丘,東京都,12号線大江戸線,3225,2012,57846,146500
光が丘,東京都,12号線大江戸線,3225,2013,59065,146500
光が丘,東京都,12号線大江戸線,3225,2014,59157,149166
光が丘,東京都,12号線大江戸線,3225,2015,60107,209000
光が丘,東京都,12号線大江戸線,3225,2016,61464,211666
光が丘,東京都,12号線大江戸線,3225,2017,62937,215166
光が丘,東京都,12号線大江戸線,3225,2018,63584,220666
光が丘,東京都,12号線大江戸線,3225,2019,63120,282333
光が丘,東京都,12号線大江戸線,3225,2020,47683,289333
光が丘,東京都,12号線大江戸線,3225,2021,49778,286333
練馬春日町,東京都,12号線大江戸線,3243,2011,18575,119666
練馬春日町,東京都,12号線大江戸線,3243,2012,19217,119000
練馬春日町,東京都,12号線大江戸線,3243,2013,19943,231333
練馬春日町,東京都,12号線大江戸線,3243,2014,20478,235000
練馬春日町,東京都,12号線大江戸線,3243,2015,20892,238666
練馬春日町,東京都,12号線大江戸線,3243,2016,21535,242000
練馬春日町,東京都,12号線大江戸線,3243,2017,22260,246666
練馬春日町,東京都,12号線大江戸線,3243,2018,23000,254000
練馬春日町,東京都,12号線大江戸線,3243,2019,23110,263333
練馬春日町,東京都,12号線大江戸線,3243,2020,18330,272000
練馬春日町,東京都,12号線大江戸線,3243,2021,19287,398666
豊島園,東京都,12号線大江戸線,3309,2011,10568,399500
豊島園,東京都,12号線大江戸線,3309,2012,10954,396000
豊島園,東京都,12号線大江戸線,3309,2013,11163,395000
豊島園,東京都,12号線大江戸線,3309,2014,11131,399000
豊島園,東京都,12号線大江戸線,3309,2015,11286,403000
豊島園,東京都,12号線大江戸線,3309,2016,11600,408500
豊島園,東京都,12号線大江戸線,3309,2017,11716,419000
豊島園,東京都,12号線大江戸線,3309,2018,12233,434000
豊島園,東京都,12号線大江戸線,3309,2019,12410,452000
豊島園,東京都,12号線大江戸線,3309,2020,8746,469500
豊島園,東京都,12号線大江戸線,3309,2021,8579,464000
練馬,東京都,12号線大江戸線,3338,2011,69631,324714
練馬,東京都,12号線大江戸線,3338,2012,71848,382714
練馬,東京都,12号線大江戸線,3338,2013,73396,382428
練馬,東京都,12号線大江戸線,3338,2014,74506,390714
練馬,東京都,12号線大江戸線,3338,2015,76875,395000
練馬,東京都,12号線大江戸線,3338,2016,78525,476714
練馬,東京都,12号線大江戸線,3338,2017,80302,499857
練馬,東京都,12号線大江戸線,3338,2018,81459,585000
練馬,東京都,12号線大江戸線,3338,2019,82576,618000
練馬,東京都,12号線大江戸線,3338,2020,62604,649857
練馬,東京都,12号線大江戸線,3338,2021,64586,642142
新江古田,東京都,12号線大江戸線,3367,2011,22697,314750
新江古田,東京都,12号線大江戸線,3367,2012,23909,313250
新江古田,東京都,12号線大江戸線,3367,2013,24680,312750
新江古田,東京都,12号線大江戸線,3367,2014,24962,317750
新江古田,東京都,12号線大江戸線,3367,2015,25572,321500
新江古田,東京都,12号線大江戸線,3367,2016,27045,328000
新江古田,東京都,12号線大江戸線,3367,2017,28035,336750
新江古田,東京都,12号線大江戸線,3367,2018,28824,347750
新江古田,東京都,12号線大江戸線,3367,2019,30008,362250
新江古田,東京都,12号線大江戸線,3367,2020,22998,376750
新江古田,東京都,12号線大江戸線,3367,2021,24317,476000
落合南長崎,東京都,12号線大江戸線,3448,2011,20815,368333
落合南長崎,東京都,12号線大江戸線,3448,2012,22875,366333
落合南長崎,東京都,12号線大江戸線,3448,2013,23856,519000
落合南長崎,東京都,12号線大江戸線,3448,2014,24329,530000
落合南長崎,東京都,12号線大江戸線,3448,2015,25251,544333
落合南長崎,東京都,12号線大江戸線,3448,2016,26031,559666
落合南長崎,東京都,12号線大江戸線,3448,2017,27147,574333
落合南長崎,東京都,12号線大江戸線,3448,2018,28006,593000
落合南長崎,東京都,12号線大江戸線,3448,2019,28212,635333
落合南長崎,東京都,12号線大江戸線,3448,2020,21881,675333
落合南長崎,東京都,12号線大江戸線,3448,2021,22758,671333
春日,東京都,12号線大江戸線,3539,2011,49280,831800
春日,東京都,12号線大江戸線,3539,2012,51624,817800
春日,東京都,12号線大江戸線,3539,2013,53811,815800
春日,東京都,12号線大江戸線,3539,2014,54748,842000
春日,東京都,12号線大江戸線,3539,2015,56626,875600
春日,東京都,12号線大江戸線,3539,2016,57826,920200
春日,東京都,12号線大江戸線,3539,2017,58904,971400
春日,東京都,12号線大江戸線,3539,2018,60579,1032400
春日,東京都,12号線大江戸線,3539,2019,61322,1130200
春日,東京都,12号線大江戸線,3539,2020,43443,1255800
春日,東京都,12号線大江戸線,3539,2021,46253,1230600
本郷三丁目,東京都,12号線大江戸線,3546,2011,17685,609166
本郷三丁目,東京都,12号線大江戸線,3546,2012,18183,776833
本郷三丁目,東京都,12号線大江戸線,3546,2013,18820,774500
本郷三丁目,東京都,12号線大江戸線,3546,2014,19282,799000
本郷三丁目,東京都,12号線大江戸線,3546,2015,20245,835333
本郷三丁目,東京都,12号線大江戸線,3546,2016,20914,1030166
本郷三丁目,東京都,12号線大江戸線,3546,2017,21554,1086833
本郷三丁目,東京都,12号線大江戸線,3546,2018,22216,1155333
本郷三丁目,東京都,12号線大江戸線,3546,2019,22270,1250000
本郷三丁目,東京都,12号線大江戸線,3546,2020,15135,1356666
本郷三丁目,東京都,12号線大江戸線,3546,2021,16293,1330000
東中野,東京都,12号線大江戸線,3549,2011,24553,430571
東中野,東京都,12号線大江戸線,3549,2012,25588,424000
